date,activity_type,count,reason_context,hospital_address
2023-04-02,ICU_surgery,20,flu season,Delhi General Hospital
2023-04-09,Ortho_appointment,11,knee surgery season,Bangalore Health Center
2023-04-09,Ortho_surgery,17,routine checkup,Kolkata Medical Hub
2023-04-09,Pediatrics_appointment,33,camp,Chennai City Clinic
2023-04-09,Pediatrics_surgery,22,flu season,Kolkata Medical Hub
2023-04-09,Emergency_appointment,22,unknown,Bangalore Health Center
2023-04-09,Emergency_surgery,18,unknown,Kolkata Medical Hub
2023-04-09,Dermatology_appointment,31,skin camp,Kolkata Medical Hub
2023-04-09,Dermatology_surgery,13,routine,Mumbai Trauma Center
2023-04-09,ICU_appointment,14,flu season,Delhi General Hospital
2023-04-09,ICU_surgery,32,respiratory issues,Chennai City Clinic
2023-04-16,Ortho_appointment,21,camp,Delhi General Hospital
2023-04-16,Ortho_surgery,20,sports injury,Kolkata Medical Hub
2023-04-16,Pediatrics_appointment,17,school health check,Bangalore Health Center
2023-04-16,Pediatrics_surgery,13,flu season,Delhi General Hospital
2023-04-16,Emergency_appointment,19,unknown,Bangalore Health Center
2023-04-16,Emergency_surgery,13,accident,Delhi General Hospital
2023-04-16,Dermatology_appointment,31,skin camp,Mumbai Trauma Center
2023-04-16,Dermatology_surgery,13,skin camp,Mumbai Trauma Center
2023-04-16,ICU_appointment,27,respiratory issues,Chennai City Clinic
2023-04-16,ICU_surgery,16,flu season,Mumbai Trauma Center
2023-04-23,Ortho_appointment,20,sports injury,Chennai City Clinic
2023-04-23,Ortho_surgery,23,knee surgery season,Delhi General Hospital
2023-04-23,Pediatrics_appointment,16,school health check,Delhi General Hospital
2023-04-23,Pediatrics_surgery,16,school health check,Chennai City Clinic
2023-04-23,Emergency_appointment,19,unknown,Mumbai Trauma Center
2023-04-23,Emergency_surgery,21,unknown,Chennai City Clinic
2023-04-23,Dermatology_appointment,16,routine,Chennai City Clinic
2023-04-23,Dermatology_surgery,17,allergy season,Kolkata Medical Hub
2023-04-23,ICU_appointment,23,flu season,Kolkata Medical Hub
2023-04-23,ICU_surgery,28,heat wave,Delhi General Hospital
2023-04-30,Ortho_appointment,22,camp,Kolkata Medical Hub
2023-04-30,Ortho_surgery,18,camp,Bangalore Health Center
2023-04-30,Pediatrics_appointment,27,routine,Delhi General Hospital
2023-04-30,Pediatrics_surgery,14,school health check,Kolkata Medical Hub
2023-04-30,Emergency_appointment,17,fire outbreak,Mumbai Trauma Center
2023-04-30,Emergency_surgery,14,fire outbreak,Chennai City Clinic
2023-04-30,Dermatology_appointment,27,rash outbreak,Chennai City Clinic
2023-04-30,Dermatology_surgery,25,skin camp,Mumbai Trauma Center
2023-04-30,ICU_appointment,25,flu season,Bangalore Health Center
2023-04-30,ICU_surgery,25,flu season,Chennai City Clinic
2023-05-07,Ortho_appointment,28,routine checkup,Mumbai Trauma Center
2023-05-07,Ortho_surgery,16,camp,Kolkata Medical Hub
2023-05-07,Pediatrics_appointment,25,routine,Chennai City Clinic
2023-05-07,Pediatrics_surgery,12,flu season,Kolkata Medical Hub
2023-05-07,Emergency_appointment,13,unknown,Bangalore Health Center
2023-05-07,Emergency_surgery,25,unknown,Delhi General Hospital
2023-05-07,Dermatology_appointment,23,allergy season,Mumbai Trauma Center
2023-05-07,Dermatology_surgery,12,rash outbreak,Kolkata Medical Hub
2023-05-07,ICU_appointment,32,respiratory issues,Kolkata Medical Hub
2023-05-07,ICU_surgery,16,heat wave,Mumbai Trauma Center
2023-05-14,Ortho_appointment,20,sports injury,Bangalore Health Center
2023-05-14,Ortho_surgery,17,knee surgery season,Chennai City Clinic
2023-05-14,Pediatrics_appointment,13,flu season,Kolkata Medical Hub
2023-05-14,Pediatrics_surgery,19,routine,Chennai City Clinic
2023-05-14,Emergency_appointment,34,unknown,Chennai City Clinic
2023-05-14,Emergency_surgery,16,accident,Mumbai Trauma Center
2023-05-14,Dermatology_appointment,22,rash outbreak,Delhi General Hospital
2023-05-14,Dermatology_surgery,24,rash outbreak,Delhi General Hospital
2023-05-14,ICU_appointment,16,heat wave,Bangalore Health Center
2023-05-14,ICU_surgery,23,respiratory issues,Chennai City Clinic
2023-05-21,Ortho_appointment,16,camp,Kolkata Medical Hub
2023-05-21,Ortho_surgery,16,routine checkup,Bangalore Health Center
2023-05-21,Pediatrics_appointment,23,routine,Mumbai Trauma Center
2023-05-21,Pediatrics_surgery,29,routine,Mumbai Trauma Center
2023-05-21,Emergency_appointment,16,fire outbreak,Bangalore Health Center
2023-05-21,Emergency_surgery,18,fire outbreak,Mumbai Trauma Center
2023-05-21,Dermatology_appointment,30,skin camp,Mumbai Trauma Center
2023-05-21,Dermatology_surgery,16,routine,Bangalore Health Center
2023-05-21,ICU_appointment,14,winter spike,Kolkata Medical Hub
2023-05-21,ICU_surgery,26,respiratory issues,Bangalore Health Center
2023-05-28,Ortho_appointment,21,routine checkup,Mumbai Trauma Center
2023-05-28,Ortho_surgery,28,sports injury,Chennai City Clinic
2023-05-28,Pediatrics_appointment,33,school health check,Delhi General Hospital
2023-05-28,Pediatrics_surgery,27,school health check,Delhi General Hospital
2023-05-28,Emergency_appointment,19,accident,Mumbai Trauma Center
2023-05-28,Emergency_surgery,11,pandemic wave,Bangalore Health Center
2023-05-28,Dermatology_appointment,22,skin camp,Chennai City Clinic
2023-05-28,Dermatology_surgery,28,routine,Delhi General Hospital
2023-05-28,ICU_appointment,18,respiratory issues,Delhi General Hospital
2023-05-28,ICU_surgery,27,winter spike,Mumbai Trauma Center
2023-06-04,Ortho_appointment,22,routine checkup,Bangalore Health Center
2023-06-04,Ortho_surgery,10,sports injury,Delhi General Hospital
2023-06-04,Pediatrics_appointment,21,routine,Kolkata Medical Hub
2023-06-04,Pediatrics_surgery,15,flu season,Bangalore Health Center
2023-06-04,Emergency_appointment,15,fire outbreak,Kolkata Medical Hub
2023-06-04,Emergency_surgery,23,fire outbreak,Mumbai Trauma Center
2023-06-04,Dermatology_appointment,28,routine,Bangalore Health Center
2023-06-04,Dermatology_surgery,27,rash outbreak,Mumbai Trauma Center
2023-06-04,ICU_appointment,30,respiratory issues,Chennai City Clinic
2023-06-04,ICU_surgery,29,winter spike,Chennai City Clinic
2023-06-11,Ortho_appointment,11,sports injury,Kolkata Medical Hub
2023-06-11,Ortho_surgery,22,sports injury,Bangalore Health Center
2023-06-11,Pediatrics_appointment,27,camp,Chennai City Clinic
2023-06-11,Pediatrics_surgery,25,routine,Kolkata Medical Hub
2023-06-11,Emergency_appointment,20,fire outbreak,Mumbai Trauma Center
2023-06-11,Emergency_surgery,22,fire outbreak,Mumbai Trauma Center
2023-06-11,Dermatology_appointment,19,routine,Kolkata Medical Hub
2023-06-11,Dermatology_surgery,23,allergy season,Bangalore Health Center
2023-06-11,ICU_appointment,22,respiratory issues,Mumbai Trauma Center
2023-06-11,ICU_surgery,13,flu season,Delhi General Hospital
2023-06-18,Ortho_appointment,20,routine checkup,Mumbai Trauma Center
2023-06-18,Ortho_surgery,27,camp,Delhi General Hospital
2023-06-18,Pediatrics_appointment,31,routine,Delhi General Hospital
2023-06-18,Pediatrics_surgery,8,camp,Bangalore Health Center
2023-06-18,Emergency_appointment,29,fire outbreak,Bangalore Health Center
2023-06-18,Emergency_surgery,25,accident,Chennai City Clinic
2023-06-18,Dermatology_appointment,25,allergy season,Mumbai Trauma Center
2023-06-18,Dermatology_surgery,26,routine,Delhi General Hospital
2023-06-18,ICU_appointment,28,heat wave,Kolkata Medical Hub
2023-06-18,ICU_surgery,21,heat wave,Delhi General Hospital
2023-06-25,Ortho_appointment,29,camp,Delhi General Hospital
2023-06-25,Ortho_surgery,12,routine checkup,Delhi General Hospital
2023-06-25,Pediatrics_appointment,13,routine,Chennai City Clinic
2023-06-25,Pediatrics_surgery,29,camp,Mumbai Trauma Center
2023-06-25,Emergency_appointment,29,fire outbreak,Chennai City Clinic
2023-06-25,Emergency_surgery,33,fire outbreak,Bangalore Health Center
2023-06-25,Dermatology_appointment,10,skin camp,Chennai City Clinic
2023-06-25,Dermatology_surgery,19,skin camp,Chennai City Clinic
2023-06-25,ICU_appointment,30,heat wave,Chennai City Clinic
2023-06-25,ICU_surgery,18,flu season,Kolkata Medical Hub
2023-07-02,Ortho_appointment,32,routine checkup,Bangalore Health Center
2023-07-02,Ortho_surgery,18,sports injury,Chennai City Clinic
2023-07-02,Pediatrics_appointment,22,routine,Delhi General Hospital
2023-07-02,Pediatrics_surgery,9,routine,Kolkata Medical Hub
2023-07-02,Emergency_appointment,12,fire outbreak,Chennai City Clinic
2023-07-02,Emergency_surgery,14,unknown,Bangalore Health Center
2023-07-02,Dermatology_appointment,27,allergy season,Delhi General Hospital
2023-07-02,Dermatology_surgery,20,rash outbreak,Kolkata Medical Hub
2023-07-02,ICU_appointment,11,winter spike,Delhi General Hospital
2023-07-02,ICU_surgery,23,heat wave,Chennai City Clinic
2023-07-09,Ortho_appointment,18,camp,Mumbai Trauma Center
2023-07-09,Ortho_surgery,12,knee surgery season,Delhi General Hospital
2023-07-09,Pediatrics_appointment,28,camp,Chennai City Clinic
2023-07-09,Pediatrics_surgery,7,flu season,Bangalore Health Center
2023-07-09,Emergency_appointment,20,accident,Mumbai Trauma Center
2023-07-09,Emergency_surgery,27,accident,Chennai City Clinic
2023-07-09,Dermatology_appointment,28,routine,Kolkata Medical Hub
2023-07-09,Dermatology_surgery,28,skin camp,Mumbai Trauma Center
2023-07-09,ICU_appointment,31,heat wave,Mumbai Trauma Center
2023-07-09,ICU_surgery,19,winter spike,Kolkata Medical Hub
2023-07-16,Ortho_appointment,20,routine checkup,Delhi General Hospital
2023-07-16,Ortho_surgery,27,camp,Kolkata Medical Hub
2023-07-16,Pediatrics_appointment,21,flu season,Delhi General Hospital
2023-07-16,Pediatrics_surgery,22,camp,Kolkata Medical Hub
2023-07-16,Emergency_appointment,12,fire outbreak,Bangalore Health Center
2023-07-16,Emergency_surgery,18,pandemic wave,Bangalore Health Center
2023-07-16,Dermatology_appointment,11,skin camp,Kolkata Medical Hub
2023-07-16,Dermatology_surgery,15,routine,Kolkata Medical Hub
2023-07-16,ICU_appointment,29,respiratory issues,Kolkata Medical Hub
2023-07-16,ICU_surgery,19,heat wave,Bangalore Health Center
2023-07-23,Ortho_appointment,24,routine checkup,Kolkata Medical Hub
2023-07-23,Ortho_surgery,27,routine checkup,Mumbai Trauma Center
2023-07-23,Pediatrics_appointment,18,school health check,Kolkata Medical Hub
2023-07-23,Pediatrics_surgery,14,school health check,Bangalore Health Center
2023-07-23,Emergency_appointment,30,accident,Delhi General Hospital
2023-07-23,Emergency_surgery,12,unknown,Mumbai Trauma Center
2023-07-23,Dermatology_appointment,21,routine,Kolkata Medical Hub
2023-07-23,Dermatology_surgery,25,routine,Chennai City Clinic
2023-07-23,ICU_appointment,18,winter spike,Mumbai Trauma Center
2023-07-23,ICU_surgery,23,respiratory issues,Chennai City Clinic
2023-07-30,Ortho_appointment,27,routine checkup,Delhi General Hospital
2023-07-30,Ortho_surgery,30,knee surgery season,Bangalore Health Center
2023-07-30,Pediatrics_appointment,18,routine,Bangalore Health Center
2023-07-30,Pediatrics_surgery,9,camp,Chennai City Clinic
2023-07-30,Emergency_appointment,19,pandemic wave,Mumbai Trauma Center
2023-07-30,Emergency_surgery,24,accident,Chennai City Clinic
2023-07-30,Dermatology_appointment,13,routine,Mumbai Trauma Center
2023-07-30,Dermatology_surgery,15,allergy season,Delhi General Hospital
2023-07-30,ICU_appointment,18,winter spike,Mumbai Trauma Center
2023-07-30,ICU_surgery,26,respiratory issues,Chennai City Clinic
2023-08-06,Ortho_appointment,23,sports injury,Bangalore Health Center
2023-08-06,Ortho_surgery,16,routine checkup,Delhi General Hospital
2023-08-06,Pediatrics_appointment,22,school health check,Chennai City Clinic
2023-08-06,Pediatrics_surgery,17,camp,Kolkata Medical Hub
2023-08-06,Emergency_appointment,7,accident,Delhi General Hospital
2023-08-06,Emergency_surgery,14,unknown,Bangalore Health Center
2023-08-06,Dermatology_appointment,26,skin camp,Chennai City Clinic
2023-08-06,Dermatology_surgery,9,routine,Bangalore Health Center
2023-08-06,ICU_appointment,23,heat wave,Chennai City Clinic
2023-08-06,ICU_surgery,27,heat wave,Mumbai Trauma Center
2023-08-13,Ortho_appointment,22,camp,Mumbai Trauma Center
2023-08-13,Ortho_surgery,18,camp,Kolkata Medical Hub
2023-08-13,Pediatrics_appointment,22,school health check,Bangalore Health Center
2023-08-13,Pediatrics_surgery,19,routine,Kolkata Medical Hub
2023-08-13,Emergency_appointment,16,accident,Bangalore Health Center
2023-08-13,Emergency_surgery,13,pandemic wave,Bangalore Health Center
2023-08-13,Dermatology_appointment,16,skin camp,Delhi General Hospital
2023-08-13,Dermatology_surgery,22,routine,Mumbai Trauma Center
2023-08-13,ICU_appointment,8,flu season,Mumbai Trauma Center
2023-08-13,ICU_surgery,28,flu season,Delhi General Hospital
2023-08-20,Ortho_appointment,23,sports injury,Bangalore Health Center
2023-08-20,Ortho_surgery,28,sports injury,Chennai City Clinic
2023-08-20,Pediatrics_appointment,23,camp,Bangalore Health Center
2023-08-20,Pediatrics_surgery,23,routine,Kolkata Medical Hub
2023-08-20,Emergency_appointment,24,pandemic wave,Delhi General Hospital
2023-08-20,Emergency_surgery,17,unknown,Chennai City Clinic
2023-08-20,Dermatology_appointment,85,skin camp,Chennai City Clinic
2023-08-20,Dermatology_surgery,85,skin camp,Delhi General Hospital
2023-08-20,ICU_appointment,15,flu season,Delhi General Hospital
2023-08-20,ICU_surgery,28,heat wave,Mumbai Trauma Center
2023-08-27,Ortho_appointment,20,knee surgery season,Bangalore Health Center
2023-08-27,Ortho_surgery,27,knee surgery season,Bangalore Health Center
2023-08-27,Pediatrics_appointment,8,camp,Mumbai Trauma Center
2023-08-27,Pediatrics_surgery,23,camp,Bangalore Health Center
2023-08-27,Emergency_appointment,7,fire outbreak,Chennai City Clinic
2023-08-27,Emergency_surgery,17,unknown,Delhi General Hospital
2023-08-27,Dermatology_appointment,18,rash outbreak,Delhi General Hospital
2023-08-27,Dermatology_surgery,18,rash outbreak,Chennai City Clinic
2023-08-27,ICU_appointment,14,flu season,Chennai City Clinic
2023-08-27,ICU_surgery,16,flu season,Chennai City Clinic
2023-09-03,Ortho_appointment,24,knee surgery season,Delhi General Hospital
2023-09-03,Ortho_surgery,15,camp,Bangalore Health Center
2023-09-03,Pediatrics_appointment,26,school health check,Delhi General Hospital
2023-09-03,Pediatrics_surgery,21,school health check,Delhi General Hospital
2023-09-03,Emergency_appointment,4,unknown,Mumbai Trauma Center
2023-09-03,Emergency_surgery,23,unknown,Delhi General Hospital
2023-09-03,Dermatology_appointment,10,allergy season,Bangalore Health Center
2023-09-03,Dermatology_surgery,22,skin camp,Delhi General Hospital
2023-09-03,ICU_appointment,10,flu season,Bangalore Health Center
2023-09-03,ICU_surgery,29,flu season,Delhi General Hospital
2023-09-10,Ortho_appointment,5,knee surgery season,Mumbai Trauma Center
2023-09-10,Ortho_surgery,28,routine checkup,Bangalore Health Center
2023-09-10,Pediatrics_appointment,28,flu season,Kolkata Medical Hub
2023-09-10,Pediatrics_surgery,24,school health check,Kolkata Medical Hub
2023-09-10,Emergency_appointment,23,accident,Mumbai Trauma Center
2023-09-10,Emergency_surgery,30,accident,Delhi General Hospital
2023-09-10,Dermatology_appointment,18,skin camp,Chennai City Clinic
2023-09-10,Dermatology_surgery,27,allergy season,Mumbai Trauma Center
2023-09-10,ICU_appointment,17,flu season,Bangalore Health Center
2023-09-10,ICU_surgery,24,respiratory issues,Chennai City Clinic
2023-09-17,Ortho_appointment,8,camp,Chennai City Clinic
2023-09-17,Ortho_surgery,19,camp,Kolkata Medical Hub
2023-09-17,Pediatrics_appointment,15,routine,Mumbai Trauma Center
2023-09-17,Pediatrics_surgery,18,camp,Kolkata Medical Hub
2023-09-17,Emergency_appointment,19,fire outbreak,Chennai City Clinic
2023-09-17,Emergency_surgery,24,fire outbreak,Delhi General Hospital
2023-09-17,Dermatology_appointment,14,skin camp,Chennai City Clinic
2023-09-17,Dermatology_surgery,10,skin camp,Kolkata Medical Hub
2023-09-17,ICU_appointment,10,respiratory issues,Chennai City Clinic
2023-09-17,ICU_surgery,19,heat wave,Delhi General Hospital
2023-09-24,Ortho_appointment,27,routine checkup,Delhi General Hospital
2023-09-24,Ortho_surgery,8,camp,Kolkata Medical Hub
2023-09-24,Pediatrics_appointment,7,flu season,Bangalore Health Center
2023-09-24,Pediatrics_surgery,13,school health check,Bangalore Health Center
2023-09-24,Emergency_appointment,18,pandemic wave,Mumbai Trauma Center
2023-09-24,Emergency_surgery,14,fire outbreak,Mumbai Trauma Center
2023-09-24,Dermatology_appointment,19,skin camp,Chennai City Clinic
2023-09-24,Dermatology_surgery,24,skin camp,Bangalore Health Center
2023-09-24,ICU_appointment,14,respiratory issues,Delhi General Hospital
2023-09-24,ICU_surgery,23,heat wave,Delhi General Hospital
2023-10-01,Ortho_appointment,24,knee surgery season,Chennai City Clinic
2023-10-01,Ortho_surgery,26,knee surgery season,Bangalore Health Center
2023-10-01,Pediatrics_appointment,19,routine,Kolkata Medical Hub
2023-10-01,Pediatrics_surgery,21,routine,Delhi General Hospital
2023-10-01,Emergency_appointment,7,unknown,Mumbai Trauma Center
2023-10-01,Emergency_surgery,26,fire outbreak,Chennai City Clinic
2023-10-01,Dermatology_appointment,2,skin camp,Kolkata Medical Hub
2023-10-01,Dermatology_surgery,18,allergy season,Delhi General Hospital
2023-10-01,ICU_appointment,14,respiratory issues,Mumbai Trauma Center
2023-10-01,ICU_surgery,25,heat wave,Chennai City Clinic
2023-10-08,Ortho_appointment,10,knee surgery season,Delhi General Hospital
2023-10-08,Ortho_surgery,23,routine checkup,Chennai City Clinic
2023-10-08,Pediatrics_appointment,5,routine,Mumbai Trauma Center
2023-10-08,Pediatrics_surgery,16,school health check,Chennai City Clinic
2023-10-08,Emergency_appointment,10,unknown,Delhi General Hospital
2023-10-08,Emergency_surgery,28,pandemic wave,Mumbai Trauma Center
2023-10-08,Dermatology_appointment,13,routine,Bangalore Health Center
2023-10-08,Dermatology_surgery,18,skin camp,Delhi General Hospital
2023-10-08,ICU_appointment,4,winter spike,Bangalore Health Center
2023-10-08,ICU_surgery,12,flu season,Delhi General Hospital
